    ,date      ,price
710 ,2016-05-17,622.93
711 ,2016-05-16,615.17
712 ,2016-05-13,609.97
713 ,2016-05-12,612.04
714 ,2016-05-11,611.96
715 ,2016-05-10,604.56
716 ,2016-05-09,604.24
717 ,2016-05-06,607.55
718 ,2016-05-05,604.69
719 ,2016-05-04,602.57
720 ,2016-04-29,601.25
721 ,2016-04-28,595.63
722 ,2016-04-27,597.43
723 ,2016-04-26,601.27
724 ,2016-04-25,594.16
725 ,2016-04-22,595.38
726 ,2016-04-21,582.76
727 ,2016-04-20,575.35
728 ,2016-04-19,575.06
729 ,2016-04-15,584.47
730 ,2016-04-14,586.21
731 ,2016-04-13,584.63
732 ,2016-04-12,587.47
733 ,2016-04-11,586.78
734 ,2016-04-08,578.97
735 ,2016-04-07,579.28
736 ,2016-04-06,576.4
737 ,2016-04-05,570.43
738 ,2016-04-04,565.71
739 ,2016-04-01,568.27
740 ,2016-03-31,571.69
741 ,2016-03-30,577.11
742 ,2016-03-29,575.16
743 ,2016-03-28,582.37
744 ,2016-03-25,578.24
745 ,2016-03-24,577.31
746 ,2016-03-23,580.6
747 ,2016-03-22,577.97
748 ,2016-03-21,579.95
749 ,2016-03-18,581.95
750 ,2016-03-17,586.47
751 ,2016-03-16,583.79
752 ,2016-03-15,583.02
753 ,2016-03-14,587.09
754 ,2016-03-11,583.89
755 ,2016-03-10,583.77
756 ,2016-03-09,581.25
757 ,2016-03-08,582.54
758 ,2016-03-07,582.6
759 ,2016-03-04,580.94
760 ,2016-03-03,579.11
761 ,2016-03-02,579.17
762 ,2016-03-01,572.99
763 ,2016-02-29,570.66
764 ,2016-02-26,577.71
765 ,2016-02-25,573.02
766 ,2016-02-24,578.87
767 ,2016-02-23,573.78
768 ,2016-02-22,574.37
769 ,2016-02-19,567.51
770 ,2016-02-18,566.85
771 ,2016-02-17,561.1
772 ,2016-02-16,562.32
773 ,2016-02-15,559.19
774 ,2016-02-05,563.97
775 ,2016-02-04,561.22
776 ,2016-02-03,556.53
777 ,2016-02-02,555.09
778 ,2016-02-01,557.98
779 ,2016-01-29,561.61
780 ,2016-01-28,556.86
781 ,2016-01-27,558.98
782 ,2016-01-26,554.52
783 ,2016-01-25,562.19
784 ,2016-01-22,539.37
785 ,2016-01-21,538.53
786 ,2016-01-20,544.24
787 ,2016-01-19,550.29
788 ,2016-01-18,541.18
789 ,2016-01-15,555.76
790 ,2016-01-14,569.17
791 ,2016-01-13,578.63
792 ,2016-01-12,582.39
793 ,2016-01-11,573.72
794 ,2016-01-08,575.96
795 ,2016-01-07,582.3
796 ,2016-01-06,589.97
797 ,2016-01-05,583.62
798 ,2016-01-04,589.91
799 ,2015-12-31,595.57
800 ,2015-12-30,594.8
801 ,2015-12-29,589.43
802 ,2015-12-28,583.16
803 ,2015-12-25,579.32
804 ,2015-12-24,576.71
805 ,2015-12-23,575.46
806 ,2015-12-22,576.8
807 ,2015-12-21,577.73
808 ,2015-12-18,578.85
809 ,2015-12-17,586.47
810 ,2015-12-16,583.97
811 ,2015-12-15,582.28
812 ,2015-12-14,579.42
813 ,2015-12-11,578.01
814 ,2015-12-10,572.5
815 ,2015-12-09,574.54
816 ,2015-12-08,584.85
817 ,2015-12-07,575.34
818 ,2015-12-04,582.96
819 ,2015-12-03,585.23
820 ,2015-12-02,583.94
821 ,2015-12-01,579.06
822 ,2015-11-30,581.94
823 ,2015-11-27,590.59
824 ,2015-11-26,598.04
825 ,2015-11-25,602.67
826 ,2015-11-24,600.21
827 ,2015-11-23,606.93
828 ,2015-11-20,611.16
829 ,2015-11-19,609.05
830 ,2015-11-18,612.25
831 ,2015-11-17,614.39
832 ,2015-11-16,619.14
833 ,2015-11-13,622.34
834 ,2015-11-12,614.39
835 ,2015-11-11,612.71
836 ,2015-11-10,614.56
837 ,2015-11-09,619.44
838 ,2015-11-06,622.67
839 ,2015-11-05,625.71
840 ,2015-11-04,621.35
841 ,2015-11-03,623.85
842 ,2015-11-02,613.19
843 ,2015-10-30,619.21
844 ,2015-10-29,618.01
845 ,2015-10-28,609.68
846 ,2015-10-27,611.57
847 ,2015-10-26,612.21
848 ,2015-10-23,616.07
849 ,2015-10-22,609.78
850 ,2015-10-21,604.34
851 ,2015-10-20,605.56
852 ,2015-10-19,611.37
853 ,2015-10-16,609.73
854 ,2015-10-15,607.95
855 ,2015-10-14,607.57
856 ,2015-10-13,607.03
857 ,2015-10-12,609.55
858 ,2015-10-09,605.6
859 ,2015-10-08,604.91
860 ,2015-10-07,598.42
861 ,2015-10-06,599.92
862 ,2015-10-05,588.73
863 ,2015-10-02,580.74
864 ,2015-10-01,582.33
865 ,2015-09-30,580.32
866 ,2015-09-29,578.98
867 ,2015-09-28,582.42
868 ,2015-09-25,588.11
869 ,2015-09-24,589.42
870 ,2015-09-23,591.23
871 ,2015-09-22,592.78
872 ,2015-09-21,590.46
873 ,2015-09-18,582.73
874 ,2015-09-17,576.68
875 ,2015-09-16,576.78
876 ,2015-09-15,571.53
877 ,2015-09-14,576.0
878 ,2015-09-11,583.27
879 ,2015-09-10,588.54
880 ,2015-09-09,587.69
881 ,2015-09-08,583.35
882 ,2015-09-07,574.09
883 ,2015-09-04,578.78
884 ,2015-09-03,575.58
885 ,2015-09-01,583.61
886 ,2015-08-31,586.23
887 ,2015-08-28,597.81
888 ,2015-08-27,581.51
889 ,2015-08-26,574.88
890 ,2015-08-25,561.0
891 ,2015-08-24,558.92
892 ,2015-08-21,587.83
893 ,2015-08-20,598.22
894 ,2015-08-19,608.91
895 ,2015-08-18,611.8
896 ,2015-08-17,607.44
897 ,2015-08-14,618.94
898 ,2015-08-13,622.83
899 ,2015-08-12,632.9
900 ,2015-08-11,643.42
901 ,2015-08-10,649.99
902 ,2015-08-07,638.4
903 ,2015-08-06,633.53
904 ,2015-08-05,639.33
905 ,2015-08-04,631.27
906 ,2015-08-03,636.92
907 ,2015-07-31,647.36
908 ,2015-07-30,651.7
909 ,2015-07-29,651.21
910 ,2015-07-28,659.6
911 ,2015-07-27,665.66
912 ,2015-07-24,657.97
913 ,2015-07-23,655.74
914 ,2015-07-22,655.06
915 ,2015-07-21,641.45
916 ,2015-07-20,644.19
917 ,2015-07-17,651.03
918 ,2015-07-16,649.06
919 ,2015-07-15,651.45
920 ,2015-07-14,658.28
921 ,2015-07-13,652.28
922 ,2015-07-10,648.73
